stock_line_id,warehouse,article,article_norm,name,qty_in_move,cost_rub,unit_cost_rub,source_file,source_file_id,so_t
STK-275,ДЕМИ (Основное подразделение),0-2818,0-2818,"Плед бежевый, из кашемира, с авторским рисунком",1.0,18525.0,18525.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-276,ДЕМИ (Основное подразделение),0-2818A,0-2818A,"Плед серый, из кашемира, с авторским рисунком",1.0,18525.0,18525.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-277,ДЕМИ (Основное подразделение),0-2818B,0-2818B,"Плед темно-серый, из кашемира, с авторским рисунком",1.0,18525.0,18525.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-278,ДЕМИ (Основное подразделение),0-1043,0-1043,"Пальто женское, черное, из бархата, с расшитыми ""звездами""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-279,ДЕМИ (Основное подразделение),0-1187D,0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",-1.0,-12405.52,12405.52,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-280,ДЕМИ (Основное подразделение),0-1187E,0-1187E,"Брюки женские, черные, из шелка, с белым кантом",-2.0,-14568.24,7284.12,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-281,ДЕМИ (Основное подразделение),0-1672А,0-1672А,"Рубашка женская, белая, из хлопка, с вышивкой на кармане YC",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-282,ДЕМИ (Основное подразделение),0-2125,0-2125,"Платье женское, черное в белый горох, из шелка, декорировано белой брошью ""Цветок""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-283,ДЕМИ (Основное подразделение),0-2246B,0-2246B,"Платье женское, розовое с принтом ""желто-черные Y"", из батиста, с поясом",-5.0,-49426.6,9885.32,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-284,ДЕМИ (Основное подразделение),0-2324,0-2324,"Пальто женское, серое, из шелкового бархата, с расшитыми розовыми цветами на рукавах",-1.0,-34661.25,34661.25,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-285,ДЕМИ (Основное подразделение),0-2347,0-2347,"Пальто женское ""ДИАГОНАЛЬ"", черное, из шерсти, с отделкой кожей",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-286,ДЕМИ (Основное подразделение),0-2364В,0-2364В,"Блуза женская, черная, из крепа, с объемным рукавом, декорирована бантом по низу рукавов",-1.0,-7677.0,7677.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-287,ДЕМИ (Основное подразделение),0-2384,0-2384,"Брюки женские, черные, из шелкового бархата, с отделкой белым кантом по бокам",-1.0,-6675.0,6675.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-288,ДЕМИ (Основное подразделение),0-2393,0-2393,"Платье женское, черное, из шелка, с бахромой и кокеткой расшитой бисером",-1.0,-14849.0,14849.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-289,ДЕМИ (Основное подразделение),0-2396,0-2396,"Платье женское, черное, из крепа, с декором ""Листья"" на манжетах",-1.0,-23360.0,23360.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-290,ДЕМИ (Основное подразделение),0-2397,0-2397,"Платье женское, черное, из стрейч бархата, с разрезом и декором из страз",-2.0,-26780.0,13390.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
